Código,Título,Gênero,Classificação,Plataforma,Quantidade de Temporadas,Duração Média do Episódio
231,A Batalha dos 100,Reality Show,12,Netflix,1,60,9 
232,Mr. Robot,Suspense,16,Prime Video,4,50,10 12 10 13 
233,Sense8,Ficcao cientifica,18,Netflix,2,55,12 12 
234,Jornada nas Estrelas: A Nova Geracao,Ficcao cientifica,0,Netflix,7,44,25 22 26 26 26 26 25 
235,CSI: Miami,Acao,14,Paramount +,10,43,24 24 24 25 24 21 25 24 22 19 
236,O Rancho,Comedia,14,Netflix,4,30,20 20 20 20 
237,Yellowstone,Drama,18,Paramount +,5,60,9 10 10 10 9 
238,Manda Chuva,Comedia,0,HBO Max,1,30,30 
239,O Fantastico Jaspion,Acao,14,Prime Video,1,30,46 
240,O Rei do Gado,Drama,10,Globoplay,1,60,218 
241,Cheias de Charme,Drama,10,Globoplay,1,44,143 
242,Irmaos de Guerra,Drama,14,HBO Max,1,60,10 
243,Brilhante Victoria,Comedia,10,Nicklodeon,4,24,20 14 13 13 
244,Luna nera,Drama,14,Netflix,1,40,6 
245,Love alarme,Drama,16,Netflix,2,40,8 6 
246,Rainha charlote,Drama,16,Netflix,1,50,6 
247,Veep,Politica,12,HBO,7,30,8 10 10 10 10 10 7 
248,Lovecraft Country,Drama,16,HBO,1,50,10 
249,Sam  & cat,Comedia,10,Nicklodeon,1,24,24 
250,Girl from nowhere,Suspence,16,Netflix,2,40,13 13 
251,Upload,Ficcao,16,Amazon Prime,2,30,10 7 
252,Os Aneis de Poder,Ficcao,16,Amazon Prime,1,60,4 
253,Big time Rush,Comedia,16,Nicklodeon,4,23,20 29 12 13 
254,It's okay not to be okay,Comedia,12,Netflix,1,70,16 
255,moon knigth,Aventura,12,Disney+,1,44,6 
256,Mila no multiverso,Comedia,10,Disney+,1,212,8 
257,ms. Marvel,Aventura,12,Disney+,1,47,6 
258,shadowhunters,Ficcao,14,Netflix,4,40,13 20 10 1 
